ad,domain,durum,bulunan_kisi,bulunan_mail
Aramex Internatıonal Hava Kargo ve Kurye A.Ş.,aramex.com,ERİŞİLEMEDİ,0,0
Arclog Uluslararası Nakliyat Gümrükleme Depolama Dış Ticaret ve Loj. Hiz. Ltd. Şti.,arclog.com.tr,BULUNDU,3,0
Ard Arda Loj. Teks. Kuy. Turz. Hayvancılık Sanayi Ve Ticaret Ltd. Şti.,ardalojistik.com,BULUNAMADI,0,0
Arda Lashing Uluslararası Gözetim Liman Hizmetleri Gemi Acentalığı Ticaret Ltd. Şti.,ardalashing.com,BULUNDU,1,0
Aren Gümrük Müş. Loj. San. ve Tic. Ltd. Şti.,arengumrukleme.com.tr,BULUNAMADI,0,0
Ares Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,areslogistics.com.tr,BULUNDU,0,1
Arkas Demiryolu Taşımacılık A.Ş.,arkasrail.com.tr,BULUNAMADI,0,0
Arkas Denizcilik ve Nakliyat A.Ş.,arkasdenizcilik.com.tr,BULUNAMADI,0,0
Arkas Lojistik A.Ş.,arkaslojistik.com.tr,BULUNDU,1,8
Armada Denizcilik Lojistik Hiz. ve Tic. Ltd. Şti.,armadalogistics.com,BULUNDU,0,1
Armony Global Lojistik İş Birliği Hizmetleri ve Dış Ticaret Ltd. Şti.,armony-global.com,BULUNAMADI,0,0
Artlog Lojistik ve Dış Ticaret A.Ş.,artlog.com.tr,BULUNAMADI,0,0
Arvato Lojistik A.Ş.,arvato.com,BULUNAMADI,0,0
ASAV Lojistik Hizmetleri A.Ş.,asavtrans.com,BULUNAMADI,0,0
Ase Asya Afrika Hızlı Lojistik Sistemleri A.Ş.,ase.com.tr,BULUNDU,80,1
Asel Trans Dış Ticaret Eğitim Sistemleri İmalat ve Danışmanlık Ltd. Şti.,aseltrans.com.tr,BULUNAMADI,0,0
Asiapac Turkey Taşımacılık A.Ş.,allcargoturkey.com,ERİŞİLEMEDİ,0,0
Asil Lojistik Ve Ulaştırma Hizmetleri Ltd. Şti.,asiltrans.eu,BULUNDU,0,1
Assan Lojistik A.Ş.,assanlojistik.com.tr,BULUNAMADI,0,0
Asset Lojistik A.Ş.,assetgrup.com.tr,BULUNAMADI,0,0
Ast Uluslararası Taşımacılık ve Dış Tic. Ltd. Şti.,astturkey.com,BULUNAMADI,0,0
Ata Freight Line Ltd. Şti.,atafreight.com,BULUNDU,55,0
Atako Taşımacılık Denizcilik A.Ş.,atako.com.tr,BULUNDU,0,4
Atat Taşımacılık Çözümleri A.Ş.,atattransport.com,BULUNDU,0,1
Atatrans Lojistik Dış Ticaret San. Ltd. Şti.,atatranslogistics.com,BULUNDU,24,4
ATC Grup Ulus. Nak. ve Tic. Ltd. Şti.,atcgrup.com.tr,BULUNDU,0,1
ATF Forvarderlik Ltd. Şti.,atfturkey.com.tr,BULUNDU,40,3
Atılım Ulus. Nak. ve Dış Tic. Ltd. Şti.,atilimcargo.com,BULUNAMADI,0,0
Atlantic Speditions Uluslararası Taş. A.Ş.,atlanticforwarding.com,BULUNDU,1,0
Atlastrans Ulus. Nak. ve Dış Tic. Ltd. Şti.,atlastrans.com.tr,BULUNAMADI,0,0
Atom Ulus. Nak. ve Loj. Hizm. Tic. A.Ş.,atomlojistik.com,BULUNDU,11,2
Atos Denizcilik Taşımacılık Tic. A.Ş.,atos.com.tr,BULUNDU,26,1
Aurotrans Lojistik Hizmetleri Ltd. Şti.,auro-trans.com,BULUNAMADI,0,0
Avant Group Nakliyat San. ve Tic. Ltd. Şti.,avantgroup.com.tr,BULUNDU,0,3
Aygen Global Lojistik ve Gümrük Müş. Ltd. Şti.,aygen.com.tr,BULUNDU,0,1
Aytaş Global Loj. ve İnş. San. ve Tic. Ltd. Şti.,aytaslojistik.com,ERİŞİLEMEDİ,0,0
B4F Lojistik İhracat İthalat ve Ticaret Ltd. Şti.,b4flogistics.com,BULUNAMADI,0,0
Balkan Kara Taş. Kuyumculuk Tic. Ltd. Şti.,rumeligumruk.com,BULUNAMADI,0,0
Barlas Antrepoculuk ve Lojistik Hizmetleri Sanayi Ticaret Ltd. Şti.,barlasantrepo.com,BULUNAMADI,0,0
Barlog Denizcilik Lojistik ve Ticaret Ltd. Şti.,barlog.com.tr,BULUNAMADI,0,0
Bars Lojistik Ulus. Taş. ve Tic. Ltd. Şti.,barslojistik.com,BULUNAMADI,0,0
Barsan Global Lojistik A.Ş.,barsan.com,BULUNDU,0,96
Batco Global Lojistik A.Ş.,batco.com.tr,BULUNAMADI,0,0
Batı Nakliyat ve Tic. A.Ş.,batigroup.com.tr,BULUNDU,0,1
Battal Taşımacılık ve Lojistik A.Ş.,battal.com.tr,BULUNAMADI,0,0
Batu International Lojistik İç ve Dış Tic. A.Ş.,batulogistics.com,BULUNDU,4,0
Bayem Lojistik Sanayi ve Ticaret Ltd. Şti.,bayemlojistik.com.tr,BULUNAMADI,0,0
Baytur Global Lojistik A.Ş.,bayturtransport.com.tr,ERİŞİLEMEDİ,0,0
BBL Transport A.Ş.,groupe-bbl.com,BULUNDU,1,0
Bergen International Movers Lojistik A.Ş.,bergen.com.tr,BULUNDU,1,0
Bertan Lojistik San. ve Dış Tic. Ltd. Şti.,bertanlogistics.com,BULUNDU,0,1
Bertschi Lojistik Hizmetleri Tic. Ltd. Şti.,bertschi.com,BULUNDU,4,0
Bes Gemi Acenteliği Lojistik A.Ş.,besshipping.com,BULUNAMADI,0,0
Bilkay Global Lojistik A.Ş.,bilkaylojistik.com,BULUNAMADI,0,0
BL Global Lojistik Hizmetleri Tic. Ltd. Şti.,bllojistik.com,BULUNAMADI,0,0
BLG Uluslararası Taşımacılık Ltd. Şti.,blg-logistics.com,BULUNAMADI,0,0
Blue Partners Lojistik ve Tic. A.Ş.,bluepartners.com.tr,ERİŞİLEMEDİ,0,0
Bomer Lojistik İç ve Dış Tic. Ltd. Şti.,bomerlojistik.com,BULUNAMADI,0,0
Bowline Lojistik Sanayi ve Ticaret Ltd. Şti.,bwlturkey.com,BULUNDU,0,27
Boykan Global Lojistik ve Depolama Hizmetleri Sanayi ve Dış Ticaret Ltd. Şti.,boykan.com.tr,BULUNDU,0,8
Brave Lojistik İç ve Dış Ticaret Ltd. Şti.,brave-logistics.com,BULUNDU,0,1
Brink's Güvenlik Hizmetleri A.Ş.,brinks.com.tr,BULUNAMADI,0,0
Broekman Lojistik ve Taşımacılık A.Ş.,broekmanlogistics.com,BULUNDU,3,1
BSCL Gemi Acenteliği A.Ş.,bscl.com.tr,BULUNAMADI,0,0
Bullcon Uluslararası Taş. Tic. Ltd. Şti.,bullconlog.com,BULUNDU,3,0
