ad,domain,email,telefon,sehir,kaynak
Asel Trans Dış Ticaret Eğitim Sistemleri İmalat ve Danışmanlık Ltd. Şti.,aseltrans.com.tr,info@aseltrans.com.tr,0324 237 11 03,MERSİN,UTIKAD
Asiapac Turkey Taşımacılık A.Ş.,allcargoturkey.com,borakiztan@allcargoturkey.com,0216 360 77 88,İSTANBUL,UTIKAD
Asil Lojistik Ve Ulaştırma Hizmetleri Ltd. Şti.,asiltrans.eu,armagan@asiltrans.eu,0850 441 27 45,İSTANBUL,UTIKAD
Assan Lojistik A.Ş.,assanlojistik.com.tr,info@assanlojistik.com.tr,0216 581 18 00,İSTANBUL,UTIKAD
Asset Lojistik A.Ş.,assetgrup.com.tr,info@assetgrup.com.tr,0212 639 49 49,İSTANBUL,UTIKAD
Ast Uluslararası Taşımacılık ve Dış Tic. Ltd. Şti.,astturkey.com,info@astturkey.com,0216 343 58 00,İSTANBUL,UTIKAD
Ata Freight Line Ltd. Şti.,atafreight.com,info@atafreight.com,0212 283 47 00,İSTANBUL,UTIKAD
Atako Taşımacılık Denizcilik A.Ş.,atako.com.tr,mersin@atako.com.tr,0324 238 68 38,MERSİN,UTIKAD
Atat Taşımacılık Çözümleri A.Ş.,atattransport.com,info@atattransport.com,0212 987 33 00,İSTANBUL,UTIKAD
Atatrans Lojistik Dış Ticaret San. Ltd. Şti.,atatranslogistics.com,info@atatranslogistics.com,0362 503 55 51,SAMSUN,UTIKAD
ATC Grup Ulus. Nak. ve Tic. Ltd. Şti.,atcgrup.com.tr,info@atcgrup.com.tr,0212 655 80 94,İSTANBUL,UTIKAD
ATF Forvarderlik Ltd. Şti.,atfturkey.com.tr,info@atfturkey.com.tr,0324 237 29 02,MERSİN,UTIKAD
Atılım Ulus. Nak. ve Dış Tic. Ltd. Şti.,atilimcargo.com,a.akharman@atilimcargo.com,0212 451 44 50,İSTANBUL,UTIKAD
Atlantic Speditions Uluslararası Taş. A.Ş.,atlanticforwarding.com,info@ist.atlanticforwarding.com,0216 468 88 88,İSTANBUL,UTIKAD
Atlastrans Ulus. Nak. ve Dış Tic. Ltd. Şti.,atlastrans.com.tr,info@atlastrans.com.tr,0212 558 51 15,İSTANBUL,UTIKAD
Atom Ulus. Nak. ve Loj. Hizm. Tic. A.Ş.,atomlojistik.com,info@atomlojistik.com,0232 465 28 88,İZMİR,UTIKAD
Atos Denizcilik Taşımacılık Tic. A.Ş.,atos.com.tr,info@atos.com.tr,0232 402 07 07,İZMİR,UTIKAD
Aurotrans Lojistik Hizmetleri Ltd. Şti.,auro-trans.com,hakan.sen@auro-trans.com,0212 809 49 80,İSTANBUL,UTIKAD
Avant Group Nakliyat San. ve Tic. Ltd. Şti.,avantgroup.com.tr,md@avantgroup.com.tr,0545 574 16 50,İSTANBUL,UTIKAD
Aygen Global Lojistik ve Gümrük Müş. Ltd. Şti.,aygen.com.tr,aygen@aygen.com.tr,0216 517 65 74 / 0216 517 65 75,İSTANBUL,UTIKAD
Aytaş Global Loj. ve İnş. San. ve Tic. Ltd. Şti.,aytaslojistik.com,info@aytaslojistik.com,0212 876 53 92,İSTANBUL,UTIKAD
B4F Lojistik İhracat İthalat ve Ticaret Ltd. Şti.,b4flogistics.com,info@b4flogistics.com,0212 243 42 44,İSTANBUL,UTIKAD
Balkan Kara Taş. Kuyumculuk Tic. Ltd. Şti.,rumeligumruk.com,ferdi@rumeligumruk.com,0216 449 48 50,İSTANBUL,UTIKAD
Barlas Antrepoculuk ve Lojistik Hizmetleri Sanayi Ticaret Ltd. Şti.,barlasantrepo.com,,0216 706 27 57,İSTANBUL,UTIKAD
Barlog Denizcilik Lojistik ve Ticaret Ltd. Şti.,barlog.com.tr,sales@barlog.com.tr,0535 966 60 50,İSTANBUL,UTIKAD
Bars Lojistik Ulus. Taş. ve Tic. Ltd. Şti.,barslojistik.com,info@barslojistik.com,0312 212 00 12,ANKARA,UTIKAD
Barsan Global Lojistik A.Ş.,barsan.com,info@barsan.com,0212 222 70 00,İSTANBUL,UTIKAD
Batco Global Lojistik A.Ş.,batco.com.tr,info@batco.com.tr,0212 603 15 15,İSTANBUL,UTIKAD
Batı Nakliyat ve Tic. A.Ş.,batigroup.com.tr,bod@batigroup.com.tr,0212 293 24 00,İSTANBUL,UTIKAD
Battal Taşımacılık ve Lojistik A.Ş.,battal.com.tr,,0212 277 09 79,İSTANBUL,UTIKAD
Batu International Lojistik İç ve Dış Tic. A.Ş.,batulogistics.com,info@batulogistics.com,444 22 88,İSTANBUL,UTIKAD
Bayem Lojistik Sanayi ve Ticaret Ltd. Şti.,bayemlojistik.com.tr,info@bayemlojistik.com.tr,0850 252 67 33,MERSİN,UTIKAD
Baytur Global Lojistik A.Ş.,bayturtransport.com.tr,olgun@bayturtransport.com,0216 573 41 11,İSTANBUL,UTIKAD
BBL Transport A.Ş.,groupe-bbl.com,info@bbl-transport.com,0212 216 10 16,İSTANBUL,UTIKAD
Bergen International Movers Lojistik A.Ş.,bergen.com.tr,info@bergen.com.tr,0212 275 15 31,İSTANBUL,UTIKAD
Bertan Lojistik San. ve Dış Tic. Ltd. Şti.,bertanlogistics.com,management@bertanlogistics.com,0212 570 04 82,İSTANBUL,UTIKAD
Bertschi Lojistik Hizmetleri Tic. Ltd. Şti.,bertschi.com,info@bertschi.com,0216 493 10 91,İSTANBUL,UTIKAD
Bes Gemi Acenteliği Lojistik A.Ş.,besshipping.com,info@besshipping.com,,İSTANBUL,UTIKAD
Bilkay Global Lojistik A.Ş.,bilkaylojistik.com,udonmez@bil-kay.com,0850 259 76 76,İSTANBUL,UTIKAD
BL Global Lojistik Hizmetleri Tic. Ltd. Şti.,bllojistik.com,info@bllojistik.com,0216 519 00 99,İSTANBUL,UTIKAD
BLG Uluslararası Taşımacılık Ltd. Şti.,blg-logistics.com,,0532 574 54 04,İSTANBUL,UTIKAD
Blue Partners Lojistik ve Tic. A.Ş.,bluepartners.com.tr,info@bluepartners.com.tr,0212 212 80 70,İSTANBUL,UTIKAD
Bomer Lojistik İç ve Dış Tic. Ltd. Şti.,bomerlojistik.com,info@bomerlojistik.com,0324 502 48 27,MERSİN,UTIKAD
Bowline Lojistik Sanayi ve Ticaret Ltd. Şti.,bwlturkey.com,muhasebe@ bwlturkey.com,0324 504 15 10,MERSİN,UTIKAD
Boykan Global Lojistik ve Depolama Hizmetleri Sanayi ve Dış Ticaret Ltd. Şti.,boykan.com.tr,boykan@boykan.com.tr,0216 402 23 00,İSTANBUL,UTIKAD
Brave Lojistik İç ve Dış Ticaret Ltd. Şti.,brave-logistics.com,,0538 376 62 66,MERSİN,UTIKAD
Brink's Güvenlik Hizmetleri A.Ş.,brinks.com.tr,hasan.okten@brinksglobal.com,0212 250 67 00,İSTANBUL,UTIKAD
Broekman Lojistik ve Taşımacılık A.Ş.,broekmanlogistics.com,info.tr@broakmanlogistics.com,0532 764 3993,İSTANBUL,UTIKAD
BSCL Gemi Acenteliği A.Ş.,bscl.com.tr,agency@bscl.com.tr,0212 741 54 60,İSTANBUL,UTIKAD
Bullcon Uluslararası Taş. Tic. Ltd. Şti.,bullconlog.com,info@bullconlog.com,0342 231 28 55,GAZİANTEP,UTIKAD
Bulung Lojistik A.Ş.,bulung.com.tr,ist.office@bulung.com,0216 572 83 15,İSTANBUL,UTIKAD
Buzmavi Deniz ve Hava Taşımacılık Ltd. Şti.,buzmavi.com,info@buzmavi.com,0216-658 74 66,İSTANBUL,UTIKAD
C. Steinweg Levant Loj. Hiz. San. ve Tic. A.Ş.,steinweglevant.com,istanbul@tr.steinweg.com,0212 275 49 00,İSTANBUL,UTIKAD
Capella Depolama Lojistik Dış Tic. A.Ş.,capellatransport.com,info@capellatransport.com,0212 809 46 66,İSTANBUL,UTIKAD
Capital Lojistik ve Taş. Hiz. San. ve Tic. A.Ş.,caplogtr.com,istanbul@caplog.org,0212 274 57 67,İSTANBUL,UTIKAD
Capital Uluslararası Taş. ve Dış Tic. Ltd. Şti.,capitalticaret.com,info@capitalticaret.com,0212 598 05 88,İSTANBUL,UTIKAD
Cargojet Kargo Taşımacılık Hizmetleri Ltd. Şti.,cargojet.com.tr,aydin@cargojet.com.tr,0216 208 15 08,İSTANBUL,UTIKAD
Cargomed Denizcilik ve Lojistik Ltd. Şti.,cargomed.com.tr,izzet.saribiyik@cargomed.com.tr,0324 504 26 00,MERSİN,UTIKAD
CAS Lojistik Ltd. Şti.,caslog.com.tr,info@caslog.com.tr,0224 272 02 27,BURSA,UTIKAD
Catlog Uluslararası Taş. ve Dış Tic. A.Ş.,catlog.com.tr,yalin.seylan@catlog.com.tr,0216 755 70 52,İSTANBUL,UTIKAD
Catoni Hava ve Deniz Taşımacılık Ltd. Şti.,catoni.com.tr,catoniforwarding<code>@</code>catoni.com.tr,0212 251 50 60,İSTANBUL,UTIKAD
CBN Lojistik Depolama ve Dağıtım A.Ş.,cbn.com.tr,info@cbn.com.tr,0212 694 21 04 / 0212 694 21 14,İSTANBUL,UTIKAD
CEA Safir Global Kargo A.Ş.,safirlogistics.com,info@safirlogistics.com,0212 910 01 71,İSTANBUL,UTIKAD
CETA Uluslararası Nakliyat Petrol Gıda İnşaat Sanayi ve Ticaret Ltd. Şti.,cetalojistik.com.tr,project@cetalojistik.com.tr,0324 239 00 73,ŞIRNAK,UTIKAD
Ceva Hava ve Deniz Taşımacılığı A.Ş.,cevalogistics.com,info@cevalogistics.com,0212 456 10 00,İSTANBUL,UTIKAD
Ceva Tedarik Zinciri Çözümleri ve Teknoloji A.Ş.,borusanlojistik.com,ibaltaci@borusan.com,0212 473 15 15,İSTANBUL,UTIKAD
Ceylog Project Lojistik A.Ş.,ceylog.com,info@ceylog.com.tr,0850 308 02 39,İSTANBUL,UTIKAD
Ceynak Lojistik ve Ticaret A.Ş.,ceynak.com.tr,istanbul@ceynak.com.tr,0212 693 18 18,İSTANBUL,UTIKAD
CGL Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,cgllojistik.com.tr,info@cgllojistik.com.tr,0850 308 02 45,İSTANBUL,UTIKAD
CGLOG Deniz Acenteliği San. Ve Tic. Ltd. Şti.,cglog.com.tr,cem.yener@cglog.com.tr,0850 399 78 98,MERSİN,UTIKAD
Cihanalp Lojistik Deniz. Depolama Petrol Ürün. Oto. San. Tic. Ltd. Şti.,cihanalplojistik.com,info@cihanalplojistik.com,0850 220 39 17,KOCAELİ,UTIKAD
CJ ICM Lojistik Hizmetleri Ltd. Şti.,cj-icm.com,info@cj-icm.com,0216 425 48 33,İSTANBUL,UTIKAD
CLK Worldwide Lojistik ve Tic. A.Ş.,clkworld.com,info@clkworld.com,0212 306 50 00,İSTANBUL,UTIKAD
Coli Project Cargo Denizcilik Ltd. Şti.,coli.com.tr,istanbul@coli.com.tr,0212 913 90 08,İSTANBUL,UTIKAD
Collicare Lojistik A.Ş.,collicare.com,cem.turkdonmez@collicare.com,0212 809 13 13,İSTANBUL,UTIKAD
Colos Lojistik A.Ş.,colos.com.tr,yunus.kaya@colos.com.tr,0216 519 14 40,İSTANBUL,UTIKAD
Compass Lojistik A.Ş.,compasslog.com.tr,saadet.ozgul@compasslog.com,0212 663 04 44,İSTANBUL,UTIKAD
Conceptum Logistics İstanbul Nakliyat A.Ş.,conceptum-logistics.com,,0216 695 11 03,İSTANBUL,UTIKAD
Connect Console Cargo Loj. İç ve Dış Tic. A.Ş.,cccturkey.com,info@cccturkey.com,0216 651 90 00,İSTANBUL,UTIKAD
Console Shipping Services Lojistik Hizmet İç ve Dış Tic. A.Ş.,cssgroupsite.com,,,İSTANBUL,UTIKAD
Continent Lojistik Gıda Tarım İnşaat Otomotiv İthalat İhracat Sanayi ve Ticaret Ltd. Şti.,continentlgs.com,info@continentlgs.com,0850 441 90 70,MERSİN,UTIKAD
Contmarine Uluslararası Taşımacılık A.Ş.,contmarine.com,info@contmarine.com,0324 404 03 33,MERSİN,UTIKAD
CT Lojistik ve Dış Tic. A.Ş.,caspiantrans.com.tr,info@caspiantrans.com,0216 488 82 02,İSTANBUL,UTIKAD
CTF Global Lojistik A.Ş.,ctfglobal.com,d.aksu@ctfglobal.com,0216 255 15 00,İSTANBUL,UTIKAD
CTT Worldwide Lojistik A.Ş.,ctt.com.tr,info@ctt.com.tr,444 31 04,İSTANBUL,UTIKAD
CVS Global Lojistik Ltd. Şti.,cvsglobal.com.tr,info@cvsglobal.com.tr,0533 511 79 87,ANKARA,UTIKAD
CWT Anadolu Lojistik A.Ş.,cwtturkey.com.tr,info@cwtturkey.com,0212 465 42 41,İSTANBUL,UTIKAD
Çaba Misnak Proje Loj. Vinç ve Mühendislik A.Ş.,cabamisnak.com,info@cabamisnak.com,0216 425 60 70,İSTANBUL,UTIKAD
Çağ Lojistik A.Ş.,caglojistik.com,info@caglojistik.com,0216 577 14 44,İSTANBUL,UTIKAD
Çağlayan Depolama ve Nakliye Hizmetleri Ticaret Ltd. Şti. İstanbul Şubesi,caglayanlojistik.com,caglayan@caglayanlojistik.com,0216 561 87 90,İSTANBUL,UTIKAD
Çağrı Kargo Transport Lojistik Gümrükleme İnşaat Tarım Hayvancılık İthalat İhracat Nakliyat Sanayi ve Tic. Ltd. Şti.,cagrilojistik.com,cagri@cagrilojistik.com,0324 232 25 11,MERSİN,UTIKAD
Çelebi Hava Servisi A.Ş.,celebiaviation.com,ist.cargo@celebiaviation.com,0212 468 68 00,İSTANBUL,UTIKAD
Çobantur Turizm Ticaret ve Nakliyat A.Ş.,cobanturboltas.com,info@cobantur.com,0216 564 64 64,İSTANBUL,UTIKAD
D.K Grup Dış Tic. Ulus. Nak. Turz. ve Tic. Ltd. Şti.,dkgrup.com.tr,emir@dkgrup.com.tr,0216 469 62 52,İSTANBUL,UTIKAD
Dachser Turkey Lojistik Hizmetleri A.Ş.,dachser.com.tr,izmir@dachser.com.tr,0232 464 78 34,İZMİR,UTIKAD
Dahnay Lojistik A.Ş.,dahnay.com,tr.sergun@dahnaylogistics.com,0531 383 80 78,İSTANBUL,UTIKAD
Danış Giyim Dış Tic. ve San. Ltd. Şti.,danisgroup.com,info@danisgroup.com,0212 638 18 18,İSTANBUL,UTIKAD
Dark Blue Lojistik Dış Ticaret Ltd. Şti.,darkblueshipping.com,mcevad@darkblueshipping.com,0212 400 17 17,İSTANBUL,UTIKAD
Daynight Logistics Taş. ve Dış Tic. Ltd. Şti.,daynightlogistics.com.tr,info@daynightlogistics.com.tr,0534 271 79 66,İSTANBUL,UTIKAD
DBF Lojistik A.Ş.,dbflojistik.com.tr,info@dbflojistik.com.tr,0216 766 21 16,İSTANBUL,UTIKAD
DBL Lojistik San. ve Tic. Ltd. Şti.,dbllojistik.com.tr,info@dbllojistik.com.tr,0324 502 23 00,MERSİN,UTIKAD
DDLOGI Logistic Taşımacılık Çözüm Hizmetleri Sanayi ve Ticaret Ltd. Şti.,ddlogi.com,info@ddlogi.com,0549 134 16 00,BURSA,UTIKAD
Demtaş Lojistik Hizmetleri ve Dış Tic. Ltd. Şti.,demtastr.com,info@demtastr.com,0212 678 73 00,İSTANBUL,UTIKAD
Den-Ka Lojistik Taş. Turizm San. ve Tic. Ltd. Şti.,denkalojistik.com.tr,denka@denkalojistik.com.tr,444 1 293,MERSİN,UTIKAD
Denmar Uluslararası Nakliyat Tic. Ltd. Şti.,denmar.com.tr,info@denmar.com.tr,0216 474 51 39,İSTANBUL,UTIKAD
Devco Lojistik Hizmetleri ve Tic. Ltd. Şti.,devcolojistik.com,info@devcolojistik.com,0216 575 51 34 - 0216 574 30 65,İSTANBUL,UTIKAD
DFDS Lojistik A.Ş.,ekol.com,info@ekol.com,0216 564 30 00,İSTANBUL,UTIKAD
"DGR Global Hava, Deniz ve Kara Taş. A.Ş.",dgrgloballogistics.com,info@dgrgloballogistics.com,,İSTANBUL,UTIKAD
DHL Global Forwarding Taşımacılık A.Ş.,dhl.com,bizimlepaylasin@dhl.com,0212 692 50 50,İSTANBUL,UTIKAD
Dialog Ulus. Taş. ve Tic. Ltd. Şti.,dialogtrans.com.tr,,0212 573 30 40,İSTANBUL,UTIKAD
Dietrich A.B. Loj. Ulus. Nak. Turizm Tic. Ltd. Şti.,dietrich-ablogistic.com,info@dietrich-ablogistic.com,0216 339 82 10,İSTANBUL,UTIKAD
Dietrich Lojistik Ulus. Nak. Dış Tic. Ltd. Şti.,dietrich-logistic.com,info@dietrichlogistic.com,0216 463 54 54,İSTANBUL,UTIKAD
Dinçer Lojistik A.Ş.,dincerlojistik.com,info@dincerlojistik.com.tr,444 28 74,İSTANBUL,UTIKAD
DNB Lojistik Ltd. Şti.,dnb-tr.com,mehmet.ozkan@dnb-tr.com,0324 238 72 37,MERSİN,UTIKAD
Doğruer Lojistik ve Ulus. Nak. Dış Tic. Ltd. Şti.,dogruer.com,info@dogruer.com,0216 394 43 77,İSTANBUL,UTIKAD
Doğuş Lojistik Nakliyat İnşaat Sanayi ve Tic. A.Ş.,doguslojistik.com.tr,info@doguslojistik.com.tr,0212 875 51 51,İSTANBUL,UTIKAD
DP World Turkey Freight Lojistik A.Ş.,imperiallogistics.com,oktay.baykut@dpworld.com,0212 444 16 39 - 0850 532 99 90,İSTANBUL,UTIKAD
DP World Yarımca Liman İşletmeleri A.Ş.,dpworldyarimca.com,gokhan.yurteken@dpworld.com,0262 316 11 00,KOCAELİ,UTIKAD
DPL Lojistik A.Ş.,dpl.com.tr,umut.demirkol@dpl.com.tr,0216 403 13 75,İSTANBUL,UTIKAD
DSL Lojistik ve Ulus. Taş. Tic. Ltd. Şti.,dsllogistics.com.tr,info@dsllogistics.com.tr,0232 464 16 64,İZMİR,UTIKAD
DST Speed Lojistik Hizmetleri ve Ticaret Ltd. Şti.,flashturkey.com.tr,,0850 888 82 36,İSTANBUL,UTIKAD
DSV Hava ve Deniz Taşımacılığı A.Ş.,tr.dsv.com,info@tr.dsv.com,444 43 78,İSTANBUL,UTIKAD
DSV International Hava ve Deniz Taş. Ltd. Şti.,dsv.com,info@tr.dsv.com,444 43 78,İSTANBUL,UTIKAD
E.A.S.T. Trans Ulus. Nak. ve Tic. Ltd. Şti.,easttrans.com.tr,easttrans@easttrans.com.tr,0216 411 32 60,İSTANBUL,UTIKAD
ECU Worldwide Turkey Taşımacılık A.Ş.,ecuworldwide.com,info@ecuworldwide.com,0216 575 60 00,İSTANBUL,UTIKAD
Edeşsoy Denizcilik ve Proje Taş. Ltd. Şti.,edessoy.com.tr,edessoy@edessoy.com,0850 885 16 67,İSTANBUL,UTIKAD
EFA Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,efanakliyat.com.tr,eyup@efanakliyat.com.tr,0216 387 63 87,İSTANBUL,UTIKAD
Ege Ekspres Uluslararası Taş. Hiz. Tic. Ltd. Şti.,egeekspres.com,info@egeekspres.com,0232 463 50 54,İZMİR,UTIKAD
Ejder Global Loj. Otomotiv ve Pazar. Ltd. Şti.,ejderlojistik.com.tr,gokhanejder@ejderlojistik.com.tr,0532 643 65 08,İSTANBUL,UTIKAD
